system,threads,run_id,is_warmup,stage,category,time_ms,in_wall_clock
ours,16,1,1,CSV read (txn),IO,3887.290,1
ours,16,1,1,buildNodeIndex,OFFLINE,899.680,1
ours,16,1,1,index copy (src),OFFLINE,130.080,1
ours,16,1,1,initProbeSide (dst),OFFLINE,133.410,0
ours,16,1,1,initProbeSide (src),OFFLINE,156.310,0
ours,16,1,1,initProbeSide (wall),OFFLINE,157.030,1
ours,16,1,1,deduplicateRows (dst),ONLINE,6.670,0
ours,16,1,1,deduplicateRows (src),ONLINE,8.950,0
ours,16,1,1,probe dst,ONLINE,579.380,0
ours,16,1,1,probe src,ONLINE,590.560,0
ours,16,1,1,reduplicateRows (dst),ONLINE,27.550,0
ours,16,1,1,reduplicateRows (src),ONLINE,22.580,0
ours,16,1,1,unionWith (dst),ONLINE,13.030,0
ours,16,1,1,unionWith (src),ONLINE,17.700,0
ours,16,1,1,src branch (total),ONLINE,639.830,0
ours,16,1,1,parallel_sort (dst),ONLINE,202.260,0
ours,16,1,1,dst branch (total),ONLINE,828.920,0
ours,16,1,1,parallel branches (wall),ONLINE,842.960,1
ours,16,1,1,unionWith (final),ONLINE,11.970,1
ours,16,1,1,CSV write,IO,2462.740,1
ours,16,2,0,CSV read (account),IO,348.690,1
ours,16,2,0,CSV read (txn),IO,3972.570,1
ours,16,2,0,buildNodeIndex,OFFLINE,961.420,1
ours,16,2,0,index copy (src),OFFLINE,150.120,1
ours,16,2,0,initProbeSide (dst),OFFLINE,133.890,0
ours,16,2,0,initProbeSide (src),OFFLINE,149.390,0
ours,16,2,0,initProbeSide (wall),OFFLINE,150.090,1
ours,16,2,0,deduplicateRows (dst),ONLINE,7.580,0
ours,16,2,0,deduplicateRows (src),ONLINE,7.710,0
ours,16,2,0,probe dst,ONLINE,571.790,0
ours,16,2,0,probe src,ONLINE,588.650,0
ours,16,2,0,reduplicateRows (dst),ONLINE,24.560,0
ours,16,2,0,unionWith (dst),ONLINE,10.800,0
ours,16,2,0,reduplicateRows (src),ONLINE,25.680,0
ours,16,2,0,unionWith (src),ONLINE,69.730,0
ours,16,2,0,src branch (total),ONLINE,691.810,0
ours,16,2,0,parallel_sort (dst),ONLINE,212.130,0
ours,16,2,0,dst branch (total),ONLINE,826.920,0
ours,16,2,0,parallel branches (wall),ONLINE,842.080,1
ours,16,2,0,unionWith (final),ONLINE,10.920,1
ours,16,2,0,CSV write,IO,2479.790,1
obliviator,16,1,1,step 1 (sort),ONLINE,311.706,0
obliviator,16,1,1,step 1 (total),ONLINE,442.351,1
obliviator,16,1,1,build intermediate,ONLINE,52.662,1
obliviator,16,1,1,step 2 (sort),ONLINE,338.031,0
obliviator,16,1,1,step 2 (total),ONLINE,468.115,1
obliviator,16,1,1,emit (in-memory),ONLINE,48.329,0
obliviator,16,1,1,OBLIVIOUS WORK,ONLINE,963.128,0
obliviator,16,1,1,OBLIVIOUS WORK + EMIT,ONLINE,1011.457,0
obliviator,16,1,1,CSV load,IO,875.000,0
obliviator,16,1,1,CSV write,IO,157.000,0
obliviator,16,2,0,step 1 (sort),ONLINE,314.347,0
obliviator,16,2,0,step 1 (total),ONLINE,449.715,1
obliviator,16,2,0,build intermediate,ONLINE,54.236,1
obliviator,16,2,0,step 2 (sort),ONLINE,358.815,0
obliviator,16,2,0,step 2 (total),ONLINE,490.588,1
obliviator,16,2,0,emit (in-memory),ONLINE,48.251,0
obliviator,16,2,0,OBLIVIOUS WORK,ONLINE,994.539,0
obliviator,16,2,0,OBLIVIOUS WORK + EMIT,ONLINE,1042.790,0
obliviator,16,2,0,CSV load,IO,865.000,0
obliviator,16,2,0,CSV write,IO,141.000,0
ours,32,1,1,CSV read (account),IO,347.090,1
ours,32,1,1,CSV read (txn),IO,3904.050,1
ours,32,1,1,buildNodeIndex,OFFLINE,932.530,1
ours,32,1,1,index copy (src),OFFLINE,136.620,1
ours,32,1,1,initProbeSide (dst),OFFLINE,132.370,0
ours,32,1,1,initProbeSide (src),OFFLINE,158.030,0
ours,32,1,1,initProbeSide (wall),OFFLINE,158.790,1
ours,32,1,1,deduplicateRows (dst),ONLINE,5.800,0
ours,32,1,1,deduplicateRows (src),ONLINE,5.810,0
ours,32,1,1,probe dst,ONLINE,360.110,0
ours,32,1,1,reduplicateRows (dst),ONLINE,17.090,0
ours,32,1,1,probe src,ONLINE,377.290,0
ours,32,1,1,unionWith (dst),ONLINE,6.860,0
ours,32,1,1,reduplicateRows (src),ONLINE,57.150,0
ours,32,1,1,unionWith (src),ONLINE,15.250,0
ours,32,1,1,src branch (total),ONLINE,455.540,0
ours,32,1,1,parallel_sort (dst),ONLINE,154.140,0
ours,32,1,1,dst branch (total),ONLINE,544.040,0
ours,32,1,1,parallel branches (wall),ONLINE,556.210,1
ours,32,1,1,unionWith (final),ONLINE,8.440,1
ours,32,1,1,CSV write,IO,2436.180,1
ours,32,2,0,CSV read (account),IO,351.360,1
ours,32,2,0,CSV read (txn),IO,3891.180,1
ours,32,2,0,buildNodeIndex,OFFLINE,904.550,1
ours,32,2,0,index copy (src),OFFLINE,135.180,1
ours,32,2,0,initProbeSide (dst),OFFLINE,134.890,0
ours,32,2,0,initProbeSide (src),OFFLINE,158.060,0
ours,32,2,0,initProbeSide (wall),OFFLINE,158.910,1
ours,32,2,0,deduplicateRows (dst),ONLINE,6.300,0
ours,32,2,0,deduplicateRows (src),ONLINE,7.560,0
ours,32,2,0,probe dst,ONLINE,377.260,0
ours,32,2,0,probe src,ONLINE,392.570,0
ours,32,2,0,reduplicateRows (dst),ONLINE,17.270,0
ours,32,2,0,unionWith (dst),ONLINE,7.610,0
ours,32,2,0,reduplicateRows (src),ONLINE,12.800,0
ours,32,2,0,unionWith (src),ONLINE,43.880,0
ours,32,2,0,src branch (total),ONLINE,456.830,0
ours,32,2,0,parallel_sort (dst),ONLINE,156.460,0
ours,32,2,0,dst branch (total),ONLINE,564.940,0
ours,32,2,0,parallel branches (wall),ONLINE,580.910,1
ours,32,2,0,unionWith (final),ONLINE,14.260,1
ours,32,2,0,CSV write,IO,2450.070,1
obliviator,32,1,1,step 1 (sort),ONLINE,173.000,0
obliviator,32,1,1,step 1 (total),ONLINE,283.794,1
obliviator,32,1,1,build intermediate,ONLINE,36.974,1
obliviator,32,1,1,step 2 (sort),ONLINE,217.398,0
obliviator,32,1,1,step 2 (total),ONLINE,322.559,1
obliviator,32,1,1,emit (in-memory),ONLINE,24.589,0
obliviator,32,1,1,OBLIVIOUS WORK,ONLINE,643.327,0
obliviator,32,1,1,OBLIVIOUS WORK + EMIT,ONLINE,667.916,0
obliviator,32,1,1,CSV load,IO,904.000,0
obliviator,32,1,1,CSV write,IO,150.000,0
obliviator,32,2,0,step 1 (sort),ONLINE,197.702,0
obliviator,32,2,0,step 1 (total),ONLINE,313.379,1
obliviator,32,2,0,build intermediate,ONLINE,30.875,1
obliviator,32,2,0,step 2 (sort),ONLINE,199.589,0
obliviator,32,2,0,step 2 (total),ONLINE,303.929,1
obliviator,32,2,0,emit (in-memory),ONLINE,26.179,0
obliviator,32,2,0,OBLIVIOUS WORK,ONLINE,648.183,0
obliviator,32,2,0,OBLIVIOUS WORK + EMIT,ONLINE,674.362,0
obliviator,32,2,0,CSV load,IO,884.000,0
obliviator,32,2,0,CSV write,IO,159.000,0
ours,64,1,1,CSV read (account),IO,348.350,1
ours,64,1,1,CSV read (txn),IO,3906.410,1
ours,64,1,1,buildNodeIndex,OFFLINE,966.310,1
ours,64,1,1,index copy (src),OFFLINE,142.190,1
ours,64,1,1,initProbeSide (dst),OFFLINE,143.380,0
ours,64,1,1,initProbeSide (src),OFFLINE,155.330,0
ours,64,1,1,initProbeSide (wall),OFFLINE,156.020,1
ours,64,1,1,deduplicateRows (dst),ONLINE,6.640,0
ours,64,1,1,deduplicateRows (src),ONLINE,6.860,0
ours,64,1,1,probe dst,ONLINE,333.380,0
ours,64,1,1,probe src,ONLINE,340.660,0
ours,64,1,1,reduplicateRows (dst),ONLINE,14.140,0
ours,64,1,1,reduplicateRows (src),ONLINE,13.610,0
ours,64,1,1,unionWith (dst),ONLINE,8.700,0
ours,64,1,1,unionWith (src),ONLINE,7.070,0
ours,64,1,1,src branch (total),ONLINE,368.220,0
ours,64,1,1,parallel_sort (dst),ONLINE,110.610,0
ours,64,1,1,dst branch (total),ONLINE,473.500,0
ours,64,1,1,parallel branches (wall),ONLINE,484.290,1
ours,64,1,1,unionWith (final),ONLINE,5.050,1
ours,64,1,1,CSV write,IO,2455.350,1
ours,64,2,0,CSV read (account),IO,339.840,1
ours,64,2,0,CSV read (txn),IO,3862.440,1
ours,64,2,0,buildNodeIndex,OFFLINE,918.060,1
ours,64,2,0,index copy (src),OFFLINE,140.320,1
ours,64,2,0,initProbeSide (dst),OFFLINE,138.990,0
ours,64,2,0,initProbeSide (src),OFFLINE,154.650,0
ours,64,2,0,initProbeSide (wall),OFFLINE,155.210,1
ours,64,2,0,deduplicateRows (src),ONLINE,6.360,0
ours,64,2,0,deduplicateRows (dst),ONLINE,6.730,0
ours,64,2,0,probe dst,ONLINE,274.670,0
ours,64,2,0,reduplicateRows (dst),ONLINE,13.900,0
ours,64,2,0,probe src,ONLINE,290.830,0
ours,64,2,0,unionWith (dst),ONLINE,6.130,0
ours,64,2,0,reduplicateRows (src),ONLINE,31.280,0
ours,64,2,0,unionWith (src),ONLINE,9.060,0
ours,64,2,0,src branch (total),ONLINE,337.550,0
ours,64,2,0,parallel_sort (dst),ONLINE,110.200,0
ours,64,2,0,dst branch (total),ONLINE,411.700,0
ours,64,2,0,parallel branches (wall),ONLINE,426.040,1
ours,64,2,0,unionWith (final),ONLINE,4.640,1
ours,64,2,0,CSV write,IO,2503.800,1
obliviator,64,1,1,step 1 (sort),ONLINE,134.249,0
obliviator,64,1,1,step 1 (total),ONLINE,228.884,1
obliviator,64,1,1,build intermediate,ONLINE,29.559,1
obliviator,64,1,1,step 2 (sort),ONLINE,149.368,0
obliviator,64,1,1,step 2 (total),ONLINE,230.601,1
obliviator,64,1,1,emit (in-memory),ONLINE,19.129,0
obliviator,64,1,1,OBLIVIOUS WORK,ONLINE,489.044,0
obliviator,64,1,1,OBLIVIOUS WORK + EMIT,ONLINE,508.173,0
obliviator,64,1,1,CSV load,IO,970.000,0
obliviator,64,1,1,CSV write,IO,129.000,0
obliviator,64,2,0,step 1 (sort),ONLINE,138.150,0
obliviator,64,2,0,step 1 (total),ONLINE,225.582,1
obliviator,64,2,0,build intermediate,ONLINE,21.813,1
obliviator,64,2,0,step 2 (sort),ONLINE,150.579,0
obliviator,64,2,0,step 2 (total),ONLINE,235.822,1
obliviator,64,2,0,emit (in-memory),ONLINE,19.325,0
obliviator,64,2,0,OBLIVIOUS WORK,ONLINE,483.217,0
obliviator,64,2,0,OBLIVIOUS WORK + EMIT,ONLINE,502.542,0
obliviator,64,2,0,CSV load,IO,922.000,0
obliviator,64,2,0,CSV write,IO,117.000,0
ours,120,1,1,CSV read (account),IO,359.110,1
ours,120,1,1,CSV read (txn),IO,3871.740,1
ours,120,1,1,buildNodeIndex,OFFLINE,875.430,1
ours,120,1,1,index copy (src),OFFLINE,140.210,1
ours,120,1,1,initProbeSide (dst),OFFLINE,157.820,0
ours,120,1,1,initProbeSide (src),OFFLINE,163.770,0
ours,120,1,1,initProbeSide (wall),OFFLINE,164.490,1
ours,120,1,1,deduplicateRows (dst),ONLINE,5.510,0
ours,120,1,1,deduplicateRows (src),ONLINE,10.890,0
ours,120,1,1,probe src,ONLINE,228.590,0
ours,120,1,1,reduplicateRows (src),ONLINE,10.350,0
ours,120,1,1,unionWith (src),ONLINE,7.100,0
ours,120,1,1,src branch (total),ONLINE,256.970,0
ours,120,1,1,probe dst,ONLINE,255.190,0
ours,120,1,1,reduplicateRows (dst),ONLINE,6.960,0
ours,120,1,1,unionWith (dst),ONLINE,4.560,0
ours,120,1,1,parallel_sort (dst),ONLINE,116.580,0
ours,120,1,1,dst branch (total),ONLINE,388.850,0
ours,120,1,1,parallel branches (wall),ONLINE,398.280,1
ours,120,1,1,unionWith (final),ONLINE,4.330,1
ours,120,1,1,CSV write,IO,2490.260,1
ours,120,2,0,CSV read (account),IO,352.820,1
ours,120,2,0,CSV read (txn),IO,3933.820,1
ours,120,2,0,buildNodeIndex,OFFLINE,894.900,1
ours,120,2,0,index copy (src),OFFLINE,137.370,1
ours,120,2,0,initProbeSide (dst),OFFLINE,147.000,0
ours,120,2,0,initProbeSide (src),OFFLINE,171.600,0
ours,120,2,0,initProbeSide (wall),OFFLINE,172.560,1
ours,120,2,0,deduplicateRows (dst),ONLINE,5.910,0
ours,120,2,0,deduplicateRows (src),ONLINE,7.850,0
ours,120,2,0,probe dst,ONLINE,287.460,0
ours,120,2,0,probe src,ONLINE,286.010,0
ours,120,2,0,reduplicateRows (dst),ONLINE,9.160,0
ours,120,2,0,reduplicateRows (src),ONLINE,9.850,0
ours,120,2,0,unionWith (dst),ONLINE,8.450,0
ours,120,2,0,unionWith (src),ONLINE,8.270,0
ours,120,2,0,src branch (total),ONLINE,312.010,0
ours,120,2,0,parallel_sort (dst),ONLINE,115.730,0
ours,120,2,0,dst branch (total),ONLINE,426.780,0
ours,120,2,0,parallel branches (wall),ONLINE,436.820,1
ours,120,2,0,unionWith (final),ONLINE,3.880,1
ours,120,2,0,CSV write,IO,2457.970,1
obliviator,120,1,1,step 1 (sort),ONLINE,146.446,0
obliviator,120,1,1,step 1 (total),ONLINE,249.972,1
obliviator,120,1,1,build intermediate,ONLINE,24.143,1
obliviator,120,1,1,step 2 (sort),ONLINE,149.825,0
obliviator,120,1,1,step 2 (total),ONLINE,235.318,1
obliviator,120,1,1,emit (in-memory),ONLINE,11.209,0
obliviator,120,1,1,OBLIVIOUS WORK,ONLINE,509.433,0
obliviator,120,1,1,OBLIVIOUS WORK + EMIT,ONLINE,520.642,0
obliviator,120,1,1,CSV load,IO,1368.000,0
obliviator,120,1,1,CSV write,IO,139.000,0
obliviator,120,2,0,step 1 (sort),ONLINE,154.728,0
obliviator,120,2,0,step 1 (total),ONLINE,261.784,1
obliviator,120,2,0,build intermediate,ONLINE,22.913,1
obliviator,120,2,0,step 2 (sort),ONLINE,159.046,0
obliviator,120,2,0,step 2 (total),ONLINE,251.042,1
obliviator,120,2,0,emit (in-memory),ONLINE,12.546,0
obliviator,120,2,0,OBLIVIOUS WORK,ONLINE,535.739,0
obliviator,120,2,0,OBLIVIOUS WORK + EMIT,ONLINE,548.285,0
obliviator,120,2,0,CSV load,IO,1369.000,0
obliviator,120,2,0,CSV write,IO,139.000,0
